UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
FEB'24,"$472,943","$394,910","$415,444","$430,414","$404,618","$378,067","$294,330",,FEB'24,0.230%,0.120%,0.190%,0.330%,0.450%,0.640%,1.000%,,FEB'24,,0.002%,,,,,0.000%
MAR'24,"$470,138","$394,468","$417,126","$430,835","$404,537","$377,151","$293,390",,MAR'24,0.160%,0.130%,0.190%,0.320%,0.440%,0.640%,0.980%,,MAR'24,,,0.001%,,0.001%,,0.000%
APR'24,"$466,807","$394,836","$417,840","$430,918","$404,407","$376,256","$292,836",,APR'24,0.220%,0.120%,0.170%,0.320%,0.470%,0.660%,1.010%,,APR'24,,,,,0.000%,,
MAY'24,"$467,923","$397,343","$420,216","$431,470","$404,476","$375,441","$290,836",,MAY'24,0.200%,0.120%,0.180%,0.300%,0.460%,0.640%,1.020%,,MAY'24,,,,,0.001%,0.001%,
JUN'24,"$476,969","$402,451","$422,529","$433,815","$405,840","$376,098","$291,598",,JUN'24,0.140%,0.110%,0.200%,0.310%,0.480%,0.700%,1.090%,,JUN'24,,,,0.001%,0.000%,0.002%,0.000%
JUL'24,"$481,532","$407,771","$427,156","$436,450","$406,792","$375,978","$291,487",,JUL'24,0.120%,0.100%,0.170%,0.300%,0.440%,0.650%,1.000%,,JUL'24,,,,0.000%,0.000%,,
AUG'24,"$487,798","$413,108","$431,931","$440,407","$408,677","$377,556","$291,622",,AUG'24,0.140%,0.100%,0.180%,0.290%,0.450%,0.630%,1.010%,,AUG'24,,,,0.002%,0.000%,,
SEP'24,"$491,109","$416,403","$435,362","$443,027","$410,219","$377,673","$292,207",,SEP'24,0.180%,0.110%,0.170%,0.300%,0.420%,0.610%,1.000%,,SEP'24,,,,,,,
OCT'24,"$493,687","$419,538","$438,549","$444,806","$411,282","$378,225","$292,462",,OCT'24,0.150%,0.110%,0.170%,0.300%,0.440%,0.630%,1.030%,,OCT'24,,0.002%,0.001%,0.000%,0.000%,0.001%,0.000%
NOV'24,"$493,622","$422,476","$441,070","$446,918","$411,979","$377,587","$292,518",,NOV'24,0.180%,0.090%,0.180%,0.330%,0.460%,0.640%,1.060%,,NOV'24,,,,,0.000%,0.001%,
DEC'24,"$489,985","$423,894","$443,311","$447,712","$412,292","$377,154","$292,039",,DEC'24,0.160%,0.110%,0.180%,0.320%,0.460%,0.640%,1.040%,,DEC'24,,,,0.000%,,,0.005%
AVG,"$477,769","$405,473","$426,370","$436,153","$406,884","$376,718","$292,160",,AVG,0.180%,0.120%,0.180%,0.310%,0.450%,0.650%,1.010%,,AVG,,0.002%,0.001%,0.001%,0.000%,0.001%,0.001%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE LOAN,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$47,586","$47,300","$46,975","$45,615","$46,178","$45,316","$40,687",,DEC'23,0.440%,0.240%,0.120%,0.190%,0.200%,0.220%,0.210%,,DEC'23,,,,,,,
JAN'24,"$47,706","$47,202","$47,376","$46,185","$46,304","$45,656","$41,317",,JAN'24,0.340%,0.240%,0.160%,0.130%,0.170%,0.140%,0.190%,,JAN'24,0.028%,0.006%,,,,,
FEB'24,"$47,776","$47,689","$47,725","$46,469","$46,663","$46,162","$41,663",,FEB'24,0.470%,0.220%,0.180%,0.190%,0.240%,0.170%,0.210%,,FEB'24,0.027%,,0.003%,0.002%,0.002%,,
MAR'24,"$48,017","$48,013","$47,928","$47,029","$47,122","$46,507","$41,995",,MAR'24,0.210%,0.220%,0.140%,0.140%,0.200%,0.150%,0.200%,,MAR'24,,,0.003%,,0.002%,0.003%,0.001%
APR'24,"$48,586","$48,637","$48,456","$47,801","$47,710","$47,125","$42,537",,APR'24,0.380%,0.200%,0.180%,0.150%,0.170%,0.130%,0.170%,,APR'24,,,,,,0.003%,0.001%
MAY'24,"$49,322","$49,165","$49,229","$48,467","$48,491","$47,863","$43,200",,MAY'24,0.370%,0.250%,0.180%,0.150%,0.220%,0.150%,0.170%,,MAY'24,,,,,,,
JUN'24,"$49,195","$49,583","$49,745","$49,212","$49,492","$48,726","$43,726",,JUN'24,0.280%,0.240%,0.190%,0.180%,0.220%,0.180%,0.200%,,JUN'24,,,,,,,
